config,attack,watermark,conf,bit_acc,bits,pesq
AU_AW,pitch_up,AWARE,,0.6,,
AU_TI,baseline,AudioSeal,,1.0,,3.38
AU_TI,baseline,Timbre,,1.0,,3.38
AU_TI,mp3_128,AudioSeal,,1.0,,3.38
AU_TI,mp3_128,Timbre,,1.0,,3.38
AU_TI,mp3_64,AudioSeal,,1.0,,3.363
AU_TI,mp3_64,Timbre,,1.0,,3.363
AU_TI,aac_128,AudioSeal,,1.0,,3.37
AU_TI,aac_128,Timbre,,1.0,,3.37
AU_TI,opus_64,AudioSeal,,1.0,,3.364
AU_TI,opus_64,Timbre,,1.0,,3.364
AU_TI,resample_8k,AudioSeal,,1.0,,3.11
AU_TI,resample_8k,Timbre,,1.0,,3.11
AU_TI,lowpass_4k,AudioSeal,,1.0,,3.447
AU_TI,lowpass_4k,Timbre,,1.0,,3.447
AU_TI,highpass_500,AudioSeal,,0.94,,3.431
AU_TI,highpass_500,Timbre,,1.0,,3.431
AU_TI,quantize_8bit,AudioSeal,,1.0,,2.138
AU_TI,quantize_8bit,Timbre,,1.0,,2.138
AU_TI,echo,AudioSeal,,1.0,,2.169
AU_TI,echo,Timbre,,1.0,,2.169
AU_TI,sample_suppress,AudioSeal,,1.0,,3.31
AU_TI,sample_suppress,Timbre,,1.0,,3.31
AU_TI,noise_20db,AudioSeal,,1.0,,1.913
AU_TI,noise_20db,Timbre,,1.0,,1.913
AU_TI,noise_10db,AudioSeal,,0.88,,1.264
AU_TI,noise_10db,Timbre,,1.0,,1.264
AU_TI,noise_5db,AudioSeal,,0.88,,1.14
AU_TI,noise_5db,Timbre,,0.8,,1.14
AU_TI,tempo_up_10,AudioSeal,,0.94,,
AU_TI,tempo_up_10,Timbre,,1.0,,
AU_TI,tempo_down_10,AudioSeal,,0.69,,
AU_TI,tempo_down_10,Timbre,,1.0,,
AU_TI,denoise,AudioSeal,,0.75,,3.675
AU_TI,denoise,Timbre,,1.0,,3.675
AU_TI,crop_30s,AudioSeal,,1.0,,
AU_TI,crop_30s,Timbre,,1.0,,
AU_TI,crop_10s,AudioSeal,,1.0,,
AU_TI,crop_10s,Timbre,,1.0,,
AU_TI,crop_5s,AudioSeal,,1.0,,
AU_TI,crop_5s,Timbre,,1.0,,
AU_TI,crop_3s,AudioSeal,,1.0,,
AU_TI,crop_3s,Timbre,,1.0,,
AU_TI,pitch_up,AudioSeal,,0.75,,
AU_TI,pitch_up,Timbre,,0.2,,
AW_AU,baseline,AWARE,,1.0,,4.017
AW_AU,baseline,AudioSeal,,1.0,,4.017
